timestamp,sensor,range,azimuth,elevation,radial_velocity
36.0,RADAR,6884.338,53.717,26.197,62.844
36.0,RADAR,7041.404,61.955,25.482,76.252
36.0,RADAR,6442.082,51.82,27.634,-9.079
37.0,RADAR,6943.371,53.361,25.686,67.739
37.0,RADAR,7101.054,62.437,24.419,79.538
37.0,RADAR,6411.486,48.667,28.013,-10.364
37.0,RADAR,5191.366,43.447,14.512,-137.823
37.0,RADAR,13240.401,50.984,25.267,116.79
38.0,RADAR,7019.18,53.512,25.954,70.174
38.0,RADAR,7199.392,62.636,24.333,82.298
38.0,RADAR,6422.423,47.836,27.966,-6.701
39.0,RADAR,7068.423,52.289,23.883,74.48
39.0,RADAR,7284.844,63.808,24.157,79.131
39.0,RADAR,6440.392,46.13,27.376,-1.974
39.0,RADAR,1023.25,20.173,38.824,-199.507
40.0,RADAR,7141.301,51.458,25.09,80.159
40.0,RADAR,7367.843,64.203,22.852,78.661
40.0,RADAR,6445.042,45.327,28.222,-2.249
40.0,RADAR,5061.042,8.478,36.752,79.329
40.0,RADAR,5066.534,9.956,36.798,75.818
40.0,RADAR,8968.969,106.235,38.225,-198.103
41.0,RADAR,7269.293,52.137,24.257,82.774
41.0,RADAR,7446.675,63.508,24.734,85.671
41.0,RADAR,6410.904,44.181,28.151,4.039
41.0,RADAR,5143.917,8.648,36.133,81.095
41.0,RADAR,5144.841,9.037,35.1,83.148
41.0,RADAR,13460.272,106.889,5.671,-142.513
42.0,RADAR,7334.39,51.627,23.484,87.398
42.0,RADAR,6442.844,42.329,27.933,6.36
42.0,RADAR,5198.904,8.039,34.799,78.588
42.0,RADAR,5229.59,8.182,35.044,82.47
43.0,RADAR,7417.683,50.972,23.285,90.372
43.0,RADAR,7635.533,65.29,23.096,80.461
43.0,RADAR,6440.517,40.796,27.483,9.887
43.0,RADAR,5287.133,8.115,34.348,82.222
43.0,RADAR,5287.442,8.605,35.208,78.817
43.0,RADAR,13297.12,68.229,23.266,96.687
44.0,RADAR,7513.506,52.05,22.956,90.358
44.0,RADAR,7685.96,64.925,23.609,87.028
44.0,RADAR,5379.131,8.687,33.899,82.611
44.0,RADAR,5433.676,9.052,33.538,83.712
44.0,RADAR,6280.884,70.939,5.9,-134.851
44.0,RADAR,10583.869,61.106,42.97,-102.561
45.0,RADAR,7598.222,51.261,22.871,93.481
45.0,RADAR,7776.821,65.136,22.611,84.302
45.0,RADAR,6473.069,38.092,26.708,11.636
45.0,RADAR,5457.928,7.616,33.345,83.388
45.0,RADAR,5451.404,7.831,32.765,82.956
46.0,RADAR,7653.495,50.354,22.505,90.907
46.0,RADAR,7867.438,65.603,22.902,82.771
46.0,RADAR,6486.471,35.887,27.769,18.814
46.0,RADAR,5568.287,7.221,33.821,83.048
46.0,RADAR,5551.788,7.678,32.373,83.749
46.0,RADAR,10943.433,153.24,39.356,-64.271
47.0,RADAR,7803.593,50.252,22.474,90.485
47.0,RADAR,7942.595,65.999,23.067,84.15
47.0,RADAR,6495.93,35.298,27.484,22.534
47.0,RADAR,5652.942,7.557,32.534,81.733
47.0,RADAR,5648.077,8.457,32.308,85.28
47.0,RADAR,6606.317,95.739,8.426,195.442
48.0,RADAR,7820.729,50.318,22.577,93.363
48.0,RADAR,8025.153,67.082,21.637,89.33
48.0,RADAR,6528.674,34.685,27.44,22.632
48.0,RADAR,5711.991,6.594,31.576,83.064
48.0,RADAR,5718.265,7.698,31.618,84.482
48.0,RADAR,11166.522,82.998,29.698,39.878
49.0,RADAR,7974.906,50.401,22.191,94.062
49.0,RADAR,8130.332,66.002,21.802,84.583
49.0,RADAR,6561.734,33.246,28.153,30.231
49.0,RADAR,5802.611,7.54,31.244,85.3
49.0,RADAR,5801.147,7.298,30.948,85.808
50.0,RADAR,8070.687,50.967,22.185,93.525
50.0,RADAR,8227.843,66.754,20.571,83.432
50.0,RADAR,6578.526,31.013,26.956,31.768
50.0,RADAR,5887.336,7.247,30.986,81.292
50.0,RADAR,5854.117,7.511,30.651,87.115
50.0,RADAR,1325.186,72.011,39.38,44.091
50.0,RADAR,7215.2,168.469,38.429,-71.114
51.0,RADAR,8163.967,51.193,21.163,91.219
51.0,RADAR,8300.031,66.819,21.383,83.361
51.0,RADAR,5969.975,8.153,29.499,88.902
51.0,RADAR,5978.244,7.388,30.389,85.179
52.0,RADAR,8263.493,50.809,21.257,90.959
52.0,RADAR,8399.571,67.544,20.837,83.929
52.0,RADAR,6030.612,6.368,29.824,89.026
52.0,RADAR,6048.988,7.889,29.815,85.628
52.0,RADAR,13387.887,119.422,5.033,133.012
53.0,RADAR,8335.541,50.821,21.041,94.852
53.0,RADAR,8454.364,68.475,21.5,87.451
53.0,RADAR,6159.729,7.287,29.555,87.997
53.0,RADAR,6127.471,7.37,28.555,84.766
53.0,RADAR,11483.491,144.25,22.107,157.212
54.0,RADAR,8434.216,51.675,20.61,94.12
54.0,RADAR,8557.57,68.136,20.114,86.284
54.0,RADAR,6257.061,6.825,28.663,82.567
54.0,RADAR,2298.585,71.007,33.201,-97.019
54.0,RADAR,11532.605,90.752,33.762,-14.128
55.0,RADAR,8496.498,50.826,20.558,94.945
55.0,RADAR,8631.951,68.911,20.787,87.41
55.0,RADAR,6319.574,6.247,28.708,87.795
55.0,RADAR,6339.544,5.508,27.641,84.779
55.0,RADAR,11286.152,101.956,24.791,131.419
56.0,RADAR,8613.982,50.905,19.741,89.892
56.0,RADAR,8709.927,68.619,19.259,85.795
56.0,RADAR,6408.734,6.645,27.273,89.647
56.0,RADAR,6414.284,6.592,27.237,86.895
56.0,RADAR,13463.695,84.592,21.424,174.217
57.0,RADAR,8742.944,52.057,19.472,91.995
57.0,RADAR,8796.475,68.255,19.607,88.428
57.0,RADAR,6481.595,6.01,27.162,86.527
57.0,RADAR,6496.962,6.909,27.269,87.515
57.0,RADAR,2503.641,20.759,27.881,-151.212
58.0,RADAR,8807.186,51.712,20.066,95.548
58.0,RADAR,6590.739,5.973,27.395,89.753
58.0,RADAR,6563.719,5.747,27.155,88.886
58.0,RADAR,5495.199,34.777,4.648,146.458
59.0,RADAR,8927.155,50.792,20.163,94.25
59.0,RADAR,8960.928,69.323,18.664,90.036
59.0,RADAR,6656.636,6.33,26.36,87.685
59.0,RADAR,6668.381,7.087,26.479,90.562
59.0,RADAR,8877.414,135.997,11.584,130.716
60.0,RADAR,9005.832,51.344,20.194,97.139
60.0,RADAR,9081.864,69.335,19.257,87.148
60.0,RADAR,6763.142,5.99,26.937,84.909
60.0,RADAR,6769.621,6.129,26.465,86.229
60.0,RADAR,8911.091,48.662,7.226,109.963
61.0,RADAR,9094.245,51.461,18.426,93.04
61.0,RADAR,9150.256,69.906,18.009,89.815
61.0,RADAR,6843.32,4.781,25.469,92.013
61.0,RADAR,6841.507,5.394,26.371,87.838
62.0,RADAR,9212.347,50.928,19.195,91.512
62.0,RADAR,9242.032,69.827,18.849,85.693
62.0,RADAR,6940.45,5.078,25.545,90.967
63.0,RADAR,9292.491,51.155,19.011,98.316
63.0,RADAR,9352.239,71.685,18.565,87.448
63.0,RADAR,7033.332,5.611,24.735,94.726
63.0,RADAR,13641.848,8.121,42.114,134.99
64.0,RADAR,9384.825,51.968,18.839,93.957
64.0,RADAR,9425.37,70.421,18.299,91.096
64.0,RADAR,7129.916,5.614,25.095,88.116
64.0,RADAR,7134.269,6.141,24.154,91.697
64.0,RADAR,12141.04,98.222,24.457,159.569
64.0,RADAR,14605.253,126.871,21.732,-17.438
65.0,RADAR,9442.479,51.05,19.036,92.644
65.0,RADAR,9507.157,70.426,19.045,88.391
65.0,RADAR,7179.416,6.666,24.871,90.259
65.0,RADAR,7184.608,6.152,24.414,89.893
66.0,RADAR,9574.051,51.123,18.547,94.905
66.0,RADAR,9604.192,72.086,17.345,92.205
66.0,RADAR,7285.449,6.784,24.74,92.811
66.0,RADAR,7292.925,5.358,24.445,93.356
66.0,RADAR,4201.038,129.943,7.599,174.668
66.0,RADAR,3630.65,19.316,22.394,7.82
67.0,RADAR,9652.005,49.509,17.411,97.267
67.0,RADAR,9705.667,70.481,18.673,89.596
67.0,RADAR,7424.105,6.363,23.769,89.918
67.0,RADAR,7394.508,5.315,23.733,93.731
67.0,RADAR,5867.431,119.255,30.233,184.235
67.0,RADAR,6192.773,76.515,36.546,2.305
68.0,RADAR,9733.276,50.265,16.967,95.343
68.0,RADAR,9790.039,70.247,17.686,89.754
68.0,RADAR,7458.58,5.347,24.464,92.231
68.0,RADAR,7479.493,5.44,24.009,89.412
69.0,RADAR,9853.778,51.06,17.363,95.175
69.0,RADAR,9864.34,71.397,17.061,90.916
69.0,RADAR,7582.558,4.891,23.023,90.301
69.0,RADAR,7573.874,5.079,23.566,87.043
69.0,RADAR,4819.261,23.56,19.747,-78.814
70.0,RADAR,9918.885,51.068,17.138,97.938
70.0,RADAR,9941.761,71.133,16.072,89.987
70.0,RADAR,7657.168,5.963,23.609,91.42
70.0,RADAR,7669.546,5.376,23.175,93.439
70.0,RADAR,4152.487,142.741,38.153,197.93
71.0,RADAR,10035.566,51.376,17.441,95.195
71.0,RADAR,10057.775,71.066,16.882,91.738
71.0,RADAR,7731.893,5.004,22.429,91.234
71.0,RADAR,7742.442,4.649,23.116,93.304
72.0,RADAR,10137.028,50.54,16.58,93.613
72.0,RADAR,10134.596,72.222,17.488,87.637
72.0,RADAR,7844.163,5.481,22.43,89.254
72.0,RADAR,7844.097,5.446,21.341,92.58
73.0,RADAR,10238.719,50.59,16.927,92.337
73.0,RADAR,10257.086,71.831,16.737,88.209
73.0,RADAR,7937.111,4.892,22.348,93.256
73.0,RADAR,7939.223,5.64,21.638,91.975
74.0,RADAR,10304.76,50.778,17.502,96.679
74.0,RADAR,10330.745,72.309,16.954,90.643
74.0,RADAR,8033.34,4.865,22.155,98.362
74.0,RADAR,8032.684,4.393,22.19,92.367
74.0,RADAR,13843.538,153.179,38.177,-108.936
75.0,RADAR,10437.958,50.318,16.248,96.036
75.0,RADAR,10429.485,73.218,15.775,93.257
75.0,RADAR,8121.727,4.417,21.877,87.882
75.0,RADAR,8097.808,4.724,21.578,94.796
75.0,RADAR,13784.153,44.411,33.144,71.189
76.0,RADAR,10494.066,51.115,15.626,97.327
76.0,RADAR,10552.432,72.298,16.456,95.064
76.0,RADAR,8207.138,5.215,21.368,93.445
76.0,RADAR,8211.396,3.824,21.448,93.534
76.0,RADAR,9489.08,118.527,37.332,-190.22
77.0,RADAR,10598.054,50.645,16.965,94.621
77.0,RADAR,10600.098,73.14,16.289,93.367
77.0,RADAR,8286.957,4.363,20.848,90.549
77.0,RADAR,8298.469,5.739,20.259,93.212
77.0,RADAR,8442.581,85.704,20.229,56.176
77.0,RADAR,3821.49,159.851,36.529,-60.175
77.0,RADAR,9100.53,25.385,43.756,161.157
78.0,RADAR,10701.447,51.211,15.53,98.069
78.0,RADAR,10689.928,74.143,16.778,91.966
78.0,RADAR,8395.733,5.044,20.886,93.025
78.0,RADAR,8395.128,3.76,20.623,94.799
78.0,RADAR,12152.004,46.927,6.909,-101.459
79.0,RADAR,10785.707,51.237,15.663,94.893
79.0,RADAR,10784.337,73.79,15.684,90.679
79.0,RADAR,8488.472,5.51,20.94,96.781
79.0,RADAR,8475.932,4.448,20.052,91.574
79.0,RADAR,7255.744,73.626,3.902,-111.053
80.0,RADAR,10943.611,50.669,15.94,93.528
80.0,RADAR,10900.494,73.651,15.257,92.48
80.0,RADAR,8612.328,5.32,20.438,88.638
80.0,RADAR,8594.917,4.952,20.959,90.1
81.0,RADAR,10972.745,50.885,15.897,95.586
81.0,RADAR,10970.944,73.495,15.718,91.071
81.0,RADAR,8683.38,5.093,20.007,92.836
81.0,RADAR,8649.146,4.519,20.173,93.513
81.0,RADAR,5016.494,45.078,11.829,32.978
81.0,RADAR,14909.315,178.25,23.705,55.611
82.0,RADAR,11105.38,51.494,15.941,94.495
82.0,RADAR,11081.003,74.591,15.218,91.88
82.0,RADAR,8778.562,4.27,20.14,94.952
82.0,RADAR,8774.76,4.088,20.687,91.777
83.0,RADAR,11203.313,50.128,14.824,92.245
83.0,RADAR,11143.719,73.77,15.853,91.181
83.0,RADAR,8867.074,5.123,19.949,92.547
83.0,RADAR,9491.929,80.044,19.928,-171.281
84.0,RADAR,11290.829,50.95,15.238,97.741
84.0,RADAR,11256.556,74.547,15.109,91.361
84.0,RADAR,8949.593,3.832,19.859,97.68
84.0,RADAR,8934.51,4.457,20.221,92.941
85.0,RADAR,11386.897,50.334,15.308,93.324
85.0,RADAR,11361.047,73.864,14.692,88.406
85.0,RADAR,9029.557,4.262,19.073,91.835
85.0,RADAR,14014.021,3.215,41.623,180.772
86.0,RADAR,11431.411,74.617,14.742,93.861
86.0,RADAR,9110.18,5.263,17.551,93.08
86.0,RADAR,9142.113,3.245,18.543,96.168
86.0,RADAR,5371.0,174.503,32.991,-52.405
86.0,RADAR,3447.303,39.524,20.877,177.027
87.0,RADAR,11555.658,51.657,14.93,94.242
87.0,RADAR,11519.335,73.902,15.054,90.505
87.0,RADAR,9242.615,3.728,18.495,92.614
87.0,RADAR,9271.063,3.95,19.009,90.685
87.0,RADAR,14341.652,117.143,5.215,154.037
87.0,RADAR,7849.713,25.495,6.871,75.014
87.0,RADAR,1663.215,51.587,6.29,-23.569
88.0,RADAR,11668.967,50.696,14.871,100.017
88.0,RADAR,11635.926,73.731,14.991,96.227
88.0,RADAR,9345.36,4.312,18.687,94.044
88.0,RADAR,9330.998,3.966,18.303,92.745
89.0,RADAR,11777.336,50.96,15.176,96.856
89.0,RADAR,11722.07,74.767,14.495,97.619
89.0,RADAR,9436.272,3.939,17.789,96.719
